Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;3;ч/д;дк;ц;Хлебная;35000;;;3980;см;50,00;40,00;9,00;центр.вода,кан-ция, место под гараж, газопеч отопл,на 2 входа, 1/5 дома,общ.двор.с/у на ул.
Жил;2;1/3;к;бум;Козятинская;33000;тамар-а;тамар;9186;см;39,00;23,80;7,80;переплан, с/у совм, балк заст, не угл, нов котел, автон отопл, ремонт,погреб,огород.
Жил;2;ч/д;;пол;Селецкий 3 пер;55000;Нет;;9546;см;;34,00;9,00;шлак+кирп, все удоб, гараж на 2 авто, отд двор, 6 сот, сараи, с/у совм, выгр яма, колонка.
Биз;2;к/н;к;ц;Киевская;71000;;;11869;см;40,00;;;под офис,магазин,раб.проект готов,согласовывается пристройка до 60 кв.м.
Жил;2;уч;;мал;Пролетарский 1 пер;60000;;;11877;;;;;5 сот прив.земли+20 сот непр.земли,на уч.ветхий дом.
Жил;2;ч/д;к;ц;Шевченко;50000;;;15378;см;;45,00;6,30;дер/кирп, газ, котел, вода ряд, Н=3,2м, без рем, 5,4сот, можно под офис, общ двор на 3хоз
Жил;3;ч/д;дк;смо;Саенко;45000;;;17274;см/р;52,00;35,00;10,00;котел, вода, выгр яма, отд двор, 1/4 сот, погреб, с/у на ул, кух в корид,земли нет,нужен ремонт.
Биз;0;уч;;смо;Киевское шоссе;20000;гдв-а;гдв;17646;.;;;;6 сот, дерев ветхий дом, все коммуникации есть
Жил;3;9/9;п;бог;Клосовского;42500;;;18404;р;68,00;;;угл, балк и лодж заст, с/у разд, сч-к воды, коридор, хор сост
Жил;2;ч/д;к;мал;Пролетарская;41000;;;18420;см;43,00;27,00;11,70;6 сот, отд двор, газ, колодец, лет кухня, погреб, котел, место под гараж, с/у на ул,колодец.
Жил;3;1/5;к;ц;Рыльского;70000;оля-а;оля;18496;расп;54,00;42,00;6,00;3 окна на прокуратуру, 1 окно во двор,можно под офис.
Жил;1;1/2;к;ц;Якира;15000;;;19540;.;30,00;10,00;6,50;ремонт,печн.отопл,с/у.
Жил;1;ч/д;дк;смо;Киевское шоссе;35000;;;19666;р;32,00;14,00;9,00;газ,общ. двор, 2,5 сот непр.земли, дом на 4 хоз, во дворе киоск, авт отопл,все уд-ва.
Жил;3;ч/д;к;ц;Киевский 2 пер;46000;;;20223;р;46,00;31,00;4,00;кирп, 5 сот, отд двор, все уд-ва,жилое состояние,место под гараж,вода,центр.кан-ция
Жил;6;дом;;ц;Магазинный пер;250000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;2;2/2;к;ц;Киевская;70000;;;21859;р;80,00;;;"не угл., колонка, балк не заст, еврорем, дер стеклопак, 2 уровня, h=3,8м, возле маг ""Зброя"""
Жил;3;ч/д;к;бог;Целинный пер;60000;;;22124;р;60,00;47,00;12,00;еврорем, все уд-ва,двор отд, сарай, гараж, газ, вода, выгр яма, 1,5 сот
Жил;2;ч/д;;смо;Киевское шоссе;35000;Нет;;23043;р;53,00;25,00;15,00;6 сот, ветхий дом, газ рядом, под бизнес,нужен ремонт.
Жил;3;ч/д;к;ц;Бердичевский 1 пер;60000;Нет;;23506;.;93,00;;13,00;двор отд в общ,дом нов, все удоб, с/у совм, место под гараж, можно под офис,земли нет.
Биз;1;ч/д;дк;ц;Московская;24000;Нет;;23965;.;25,00;13,00;7,00;отд двор, газ, вода, выгр яма, веранда, возм пристр, 1/7 дома, без рем,под бизнес,склад.
Жил;2;2/9;к;ц;Пушкинская;70000;;;24297;р;50,00;30,00;7,50;угл, балк заст, пласт окна, нов стол и сантех. ламинат
Жил;0;пай;;при;Заречаны;150000;;;24567;.;;;;2 га, за кладбищем возле высоков линии
Жил;4;1/9;к;бог;Л.Шевцовой;58000;;оля;24824;р;80,00;50,00;9,00;лодж заст, погреб, бойлер, жил сост
Жил;2;6/9;к;ц;Л.Украинки-Победы;60000;;;24865;р;55,60;38,00;10,00;угл, бойлер, лодж заст, пл окна, нов сантех и стол, жил сост
Жил;3;дача;к;при;Соколовский массив;15000;;;24965;см/р;50,00;;;4,5 сот, зим вар-нт, свет,печка, сарай, 2 теплиц, колодец, молжно с мебелью, жил сост, рядом лес,сад
Жил;2;ч/д;дк;ц;Московская / Домбровская;40000;Нет;;24982;см;43,00;25,70;7,00;1 сот, газ, вода, 2 погреба. лет душ, жил сост. отд двор, вольер для собак,выгр.яма.
Жил;1;ч/д;;ц;Щорса;40000;;;25056;.;24,00;16,00;7,00;дер/кирп, газ, вода-проект, туал на ул, жилое состояние, 3 сот земли,отд.двор,возм.пристройки.
Жил;2;5/5;п;ц;Львовская;43000;;;25204;см;47,00;31,00;6,00;не угл, колонка, балк заст, рем, нов сантех и стол, встр кух
Жил;2;2/2;к;ц;Победы;18000;;;25480;см;44,00;30,00;12,00;угл, без балк, газопеч отопл, пл окна, без канализ,с/у на ул.
Жил;2;ч/д;к;ц;Красного креста;35000;;;26493;см;39,00;27,00;8,00;отд двор, 2 сот, все удоб, 1/5 дома. жил сост, сарай
